Date,Positive,Tests,Positive Rate
8/11/2020,3,702,0.004273504
8/12/2020,0,425,0
8/13/2020,1,496,0.002016129
8/14/2020,0,285,0
8/15/2020,2,1019,0.001962709
8/16/2020,1,286,0.003496503
8/17/2020,4,1076,0.003717472
8/18/2020,4,965,0.004145078
8/19/2020,0,1450,0
8/20/2020,0,1414,0
8/21/2020,2,1456,0.001373626
8/22/2020,6,1940,0.003092784
8/23/2020,0,1278,0
8/24/2020,2,1430,0.001398601
8/25/2020,4,1906,0.002098636
8/26/2020,2,2732,0.000732064
8/27/2020,2,3005,0.000665557
8/28/2020,2,1935,0.001033592
8/29/2020,1,2427,0.000412031
8/30/2020,1,1947,0.000513611
8/31/2020,3,3560,0.000842697
9/1/2020,3,3173,0.000945477
9/2/2020,8,3930,0.002035623
9/3/2020,7,3457,0.002024877
9/4/2020,4,6902,0.000579542
9/5/2020,1,4390,0.00022779
9/6/2020,2,4256,0.000469925
9/7/2020,3,3898,0.000769625
9/8/2020,2,5290,0.000378072
9/9/2020,6,4997,0.00120072
9/10/2020,1,4447,0.000224871
9/11/2020,2,5407,0.000369891
9/12/2020,2,3725,0.000536913
9/13/2020,2,3818,0.000523834
9/14/2020,2,3515,0.00056899
9/15/2020,3,5147,0.000582864
9/16/2020,4,5126,0.000780336
9/17/2020,2,5120,0.000390625
9/18/2020,1,4546,0.000219974
9/19/2020,0,6,0
9/20/2020,0,3157,0
9/21/2020,1,3426,0.000291886
9/22/2020,2,4456,0.000448833
9/23/2020,5,4880,0.00102459
9/24/2020,2,4816,0.000415282
9/25/2020,3,5928,0.000506073
9/26/2020,4,4508,0.000887311
9/27/2020,0,2780,0
